country_name;fertility_norm;life_expect_norm;births_attended_norm;parliament_norm
Afghanistan;1.544977776;0.532938862;-2.55357264;0.872056704
Albania;-0.34232551;0.48295789;0.320404627;-0.160854165
Algeria;0.526540213;0.270969633;0.17059409;-0.28062975
Andorra;-1.350098036;NULL;0.543257118;1.058452332
Angola;1.449392584;0.516853032;-2.354819026;0.717347402
Antigua and Barbuda;-0.71556915;0.503160927;0.535058531;-0.695041993
Argentina;-0.558280265;0.645252423;0.441855968;1.599703061
Armenia;-0.724249804;0.952223676;0.463939703;-0.609272051
Aruba;-0.74476326;0.53782206;0.344503503;NULL
Australia;-0.898156874;0.392570847;0.504534431;0.696584942
Austria;-1.099771809;0.450020239;0.467768966;1.219126089
Azerbaijan;-0.374515794;0.767140884;0.326320653;-0.301067347
Bahamas, The;-0.580459623;0.686328739;0.485494349;-0.244393916
Bahrain;0.079343605;0.217158703;0.477479136;-0.905004959
Bangladesh;0.332952638;0.360973681;-2.988126959;-0.239781184
Barbados;-0.849992717;0.363080159;0.49307183;-0.31807762
Belarus;-1.046528285;0.967064769;0.538288277;0.982622687
Belgium;-1.044160091;0.430870442;0.525866177;1.391648232
Belize;0.303897353;0.676179346;0.107295385;-1.06824307
Benin;1.159444029;0.267331172;-0.700372642;-0.833035472
Bermuda;-1.158134047;0.7372672;NULL;NULL
Bhutan;0.414222509;0.341919633;-0.940493825;-0.775322563
Bolivia;0.367756917;0.601495136;-0.812944017;1.094672028
Bosnia and Herzegovina;-0.963078043;0.418806069;0.512870748;0.116919002
Botswana;0.400911627;0.470031777;0.363881981;-0.5707814
Brazil;-0.308574669;0.639124488;0.391409356;-0.700596123
British Virgin Islands;-0.809635432;0.541269024;0.543257118;NULL
Brunei Darussalam;-0.157108274;0.41018866;0.507371049;-0.760180745
Bulgaria;-1.078621391;0.727692301;0.515590674;0.324755289
Burkina Faso;1.271092107;0.364899389;-2.219418126;-0.517787316
Burundi;1.452969373;0.403103235;-1.941991205;0.894534059
Cabo Verde;0.458924204;0.845176308;-0.186168648;0.047023514
Cambodia;0.290006673;0.452413964;-1.851723939;-0.184564624
Cameroon;0.94711506;0.340100402;-1.384652944;0.01632432
Canada;-1.005084897;0.402145745;0.482028182;0.53289362
Central African Republic;1.016323475;0.399752021;-2.390488201;-0.743479165
Chad;1.466835555;0.304290281;-3.430987035;-0.659423215
Channel Islands;-1.124237699;0.406550199;NULL;NULL
Chile;-0.628043982;0.507086635;0.528166566;-0.170416219
China;-0.496445915;0.550843922;0.339534663;0.418495234
Colombia;-0.207959106;0.631847565;0.244530435;-0.31849877
Comoros;1.044774463;0.442168822;-1.185899329;-1.127743956
Congo, Dem. Rep.;1.274619898;0.371697568;-0.707896886;-0.664526274
Congo, Rep.;0.731364459;0.304960524;-1.021927597;-0.712552654
Costa Rica;-0.30437725;0.494160522;0.439507731;1.443634894
Cote d'Ivoire;1.300278051;0.238510727;-1.517569424;-0.686971327
Croatia;-1.102613641;0.593643719;0.53706263;0.227902724
Cuba;-0.821745884;0.496075502;0.536466369;2.008503426
Curacao;-0.997748941;0.651093112;NULL;NULL
Cyprus;-0.869967204;0.392858094;0.478307276;-0.409352904
Czechia;-1.080336289;0.574493922;0.536079904;0.095374746
Denmark;-1.043261811;0.382995948;0.433490917;1.76484925
Djibouti;0.711267478;0.51608704;-0.675765052;-0.455025047
Dominica;-0.521909245;NULL;0.517116697;0.03660592
Dominican Republic;0.052550353;0.722904852;0.415171455;0.260560767
Ecuador;0.091388727;0.698105864;-0.167215733;0.924376071
Egypt, Arab Rep.;0.349840308;0.452222466;-1.629654996;-0.883345187
El Salvador;0.099309927;0.859921652;0.288015634;0.273155973
Equatorial Guinea;0.835377154;0.395539065;-2.14157296;-0.321290508
Eritrea;0.918018943;0.428476717;-3.138653593;0.301936468
Estonia;-1.064493891;0.81386639;0.520400452;0.292164941
Eswatini;0.597169545;0.732671249;-0.78176698;-0.798309624
Ethiopia;1.263342397;0.565780764;-3.59137016;0.453651087
Faroe Islands;-0.677378305;0.450020239;NULL;NULL
Fiji;-0.112765891;0.342494127;0.436519065;-0.447953563
Finland;-1.051019686;0.536194327;0.512450307;1.95689715
France;-0.927791958;0.584068821;0.441119844;0.351304222
French Polynesia;-0.18858075;0.623613152;0.493568714;NULL
Gabon;0.431355164;0.465148579;-0.198756377;-0.390004238
Gambia, The;1.018430351;0.307545746;-1.390331619;-0.809911678
Georgia;-0.859334832;0.970320234;0.427731579;-0.591418527
Germany;-1.165917905;0.459595138;0.431232353;1.274132913
Ghana;0.813156965;0.429434207;-1.654881416;-0.606266984
Gibraltar;-0.751680019;0.369878337;NULL;NULL
Greece;-1.102140003;0.488319834;0.53482283;-0.195883862
Greenland;-0.823772695;0.356186232;NULL;NULL
Grenada;-0.238484305;0.542035015;0.518723469;0.915235108
Guam;-0.21049879;0.925988453;0.513444076;NULL
Guatemala;0.612775124;0.697722868;-1.965696714;-0.456882344
Guinea;1.032427192;0.223669634;-2.2299079;-0.045822541
Guinea-Bissau;0.943276953;0.445520037;-2.524173668;-0.466020089
Guyana;-0.104754864;0.674360116;0.220045883;0.963810671
Haiti;0.467531363;0.573249185;-2.89083268;-1.181410795
Honduras;0.609671974;0.465435826;-1.103913463;0.02592872
Hong Kong SAR, China;-0.938416165;0.488319834;0.543257118;NULL
Hungary;-1.119533976;0.651093112;0.516185505;-0.638591036
Iceland;-0.755240475;0.268097164;0.490843866;1.661472223
India;0.067461806;0.307258499;-1.512600584;-0.612638246
Indonesia;-0.13616201;0.405688458;-1.130153673;-0.238128066
Iran, Islamic Rep.;0.21927118;0.547205461;0.334565822;-1.145901957
Iraq;0.84351884;0.405113964;-0.561954946;0.275337366
Ireland;-0.657164596;0.354271252;0.528089079;-0.152565967
Isle of Man;-0.935639662;0.369974086;-1.101753812;NULL
Israel;-0.360740257;0.392570847;0.493568714;0.095950355
Italy;-1.12941506;0.44044534;0.53387153;0.353251221
Jamaica;-0.307406904;0.392570847;0.388771354;-0.227462616
Japan;-1.141223363;0.584068821;0.535263766;-0.770579086
Jordan;0.857695337;0.458158903;0.381769806;-0.827834555
Kazakhstan;-0.489104515;0.80812145;0.500475402;0.074829109
Kenya;1.09193418;0.449062749;-1.94426859;-0.499309657
Kiribati;0.373146599;0.344696353;-0.569763124;-1.009009645
Korea, Dem. People's Rep.;-0.683271889;0.472234004;0.460029042;0.051296601
