country_code,year,wage_gap_value,wage_gap_normalized,wage_gap_reversed_index
AUS,1975,21.58,0.35,-0.35
AUS,1976,20.75,0.27,-0.27
AUS,1977,18.39,0.03,-0.03
AUS,1978,19.79,0.17,-0.17
AUS,1979,20.00,0.19,-0.19
AUS,1980,18.75,0.07,-0.07
AUS,1981,18.25,0.02,-0.02
AUS,1982,20.82,0.28,-0.28
AUS,1983,19.16,0.11,-0.11
AUS,1984,18.67,0.06,-0.06
AUS,1985,19.61,0.15,-0.15
AUS,1986,18.85,0.08,-0.08
AUS,1987,18.52,0.05,-0.05
AUS,1988,18.79,0.07,-0.07
AUS,1989,18.59,0.05,-0.05
AUS,1990,18.18,0.01,-0.01
AUS,1991,16.02,-0.20,0.20
AUS,1992,14.26,-0.38,0.38
AUS,1993,13.22,-0.48,0.48
AUS,1994,14.41,-0.36,0.36
AUS,1995,14.48,-0.36,0.36
AUS,1997,15.25,-0.28,0.28
AUS,1998,13.24,-0.48,0.48
AUS,1999,14.29,-0.38,0.38
AUS,2000,17.20,-0.09,0.09
AUS,2001,14.34,-0.37,0.37
AUS,2002,15.00,-0.30,0.30
AUS,2003,13.04,-0.50,0.50
AUS,2004,14.35,-0.37,0.37
AUS,2005,15.78,-0.23,0.23
AUS,2006,16.67,-0.14,0.14
AUS,2007,15.40,-0.27,0.27
AUS,2008,11.94,-0.61,0.61
AUS,2009,16.36,-0.17,0.17
AUS,2010,14.04,-0.40,0.40
AUS,2011,15.97,-0.21,0.21
AUS,2012,13.75,-0.43,0.43
AUS,2013,18.00,-0.01,0.01
AUS,2014,15.77,-0.23,0.23
AUS,2015,13.31,-0.47,0.47
AUS,2016,13.73,-0.43,0.43
AUS,2017,13.00,-0.50,0.50
AUS,2018,13.45,-0.46,0.46
AUS,2019,15.31,-0.27,0.27
AUS,2020,10.53,-0.75,0.75
AUS,2021,10.47,-0.76,0.76
AUS,2022,9.88,-0.82,0.82
AUT,2000,23.14,0.51,-0.51
AUT,2001,22.80,0.47,-0.47
AUT,2002,24.49,0.64,-0.64
AUT,2003,21.14,0.31,-0.31
AUT,2004,22.43,0.44,-0.44
AUT,2005,22.03,0.40,-0.40
AUT,2006,21.86,0.38,-0.38
AUT,2007,21.63,0.36,-0.36
AUT,2008,20.92,0.29,-0.29
AUT,2009,19.36,0.13,-0.13
AUT,2010,19.19,0.11,-0.11
AUT,2011,18.55,0.05,-0.05
AUT,2012,18.19,0.01,-0.01
AUT,2013,18.05,0.00,0.00
AUT,2014,17.73,-0.03,0.03
AUT,2015,17.04,-0.10,0.10
AUT,2016,15.67,-0.24,0.24
AUT,2017,15.38,-0.27,0.27
AUT,2018,14.88,-0.32,0.32
AUT,2019,14.01,-0.40,0.40
AUT,2020,12.38,-0.57,0.57
AUT,2021,12.16,-0.59,0.59
BEL,1999,15.18,-0.29,0.29
BEL,2000,13.60,-0.44,0.44
BEL,2001,13.19,-0.49,0.49
BEL,2002,11.60,-0.64,0.64
BEL,2003,15.21,-0.28,0.28
BEL,2004,11.83,-0.62,0.62
BEL,2005,11.51,-0.65,0.65
BEL,2006,10.25,-0.78,0.78
BEL,2007,9.87,-0.82,0.82
BEL,2008,8.92,-0.91,0.91
BEL,2009,7.48,-1.05,1.05
BEL,2010,7.04,-1.10,1.10
BEL,2011,5.84,-1.22,1.22
BEL,2012,6.41,-1.16,1.16
BEL,2013,5.91,-1.21,1.21
BEL,2014,3.30,-1.47,1.47
BEL,2015,4.67,-1.33,1.33
BEL,2016,3.70,-1.43,1.43
BEL,2017,4.19,-1.38,1.38
BEL,2018,3.41,-1.46,1.46
BEL,2019,3.80,-1.42,1.42
BEL,2020,1.17,-1.68,1.68
CAN,1997,24.71,0.66,-0.66
CAN,1998,24.86,0.68,-0.68
CAN,1999,24.00,0.59,-0.59
CAN,2000,23.88,0.58,-0.58
CAN,2001,24.32,0.63,-0.63
CAN,2002,24.01,0.59,-0.59
CAN,2003,22.50,0.44,-0.44
CAN,2004,22.72,0.46,-0.46
CAN,2005,21.25,0.32,-0.32
CAN,2006,21.12,0.31,-0.31
CAN,2007,20.81,0.27,-0.27
CAN,2008,20.45,0.24,-0.24
CAN,2009,20.13,0.21,-0.21
CAN,2010,18.98,0.09,-0.09
CAN,2011,19.18,0.11,-0.11
CAN,2012,19.51,0.14,-0.14
CAN,2013,19.30,0.12,-0.12
CAN,2014,19.23,0.12,-0.12
CAN,2015,18.63,0.06,-0.06
CAN,2016,18.22,0.02,-0.02
CAN,2017,18.17,0.01,-0.01
CAN,2018,18.52,0.05,-0.05
CAN,2019,17.61,-0.04,0.04
CAN,2020,16.11,-0.19,0.19
CAN,2021,16.67,-0.14,0.14
CZE,1996,18.29,0.02,-0.02
CZE,1997,18.43,0.04,-0.04
CZE,1999,19.03,0.10,-0.10
CZE,2001,16.88,-0.12,0.12
CZE,2002,15.95,-0.21,0.21
CZE,2003,15.64,-0.24,0.24
CZE,2004,16.15,-0.19,0.19
CZE,2005,15.94,-0.21,0.21
CZE,2006,15.35,-0.27,0.27
CZE,2007,16.93,-0.11,0.11
CZE,2008,17.87,-0.02,0.02
CZE,2009,15.11,-0.29,0.29
CZE,2010,15.80,-0.23,0.23
